partner,#_occurences,labs_found_in,cells_found_in,partners
PPM1D,7,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']","['TRAPPC9', 'RAD54B', 'TAOK1', 'TRAPPC9', 'RAD54B', 'TRAPPC9', 'RAD54B']"
AC006453.1,7,"['ccle', 'ccle', 'gcsi', 'gcsi', 'gcsi', 'gdsc', 'gdsc']","['NCI-H510A', 'KARPAS-620', 'NCI-H510A', 'KARPAS-620', 'U-266', 'NCI-H510A', 'KARPAS-620']","['FAM230C', 'FAM230C', 'FAM230C', 'FAM230C', 'FAM230C', 'FAM230C', 'FAM230C']"
AC073529.1,7,"['ccle', 'ccle', 'gcsi', 'gcsi', 'gcsi', 'gcsi', 'gdsc']","['NCI-H510A', 'HT55', 'SW837', 'NCI-H510A', 'SW1573', 'SW48', 'NCI-H510A']","['MID1', 'MID1', 'MID1', 'MID1', 'MID1', 'MID1', 'MID1']"
AC011586.2,7,"['ccle', 'ccle', 'ccle', 'gcsi', 'gcsi', 'gdsc', 'gdsc']","['SW837', 'NCI-H510A', 'KNS-62', 'NCI-H510A', 'U-266', 'NCI-H510A', 'KNS-62']","['MSR1', 'MSR1', 'MSR1', 'MSR1', 'MSR1', 'MSR1', 'MSR1']"
CU104787.1,7,"['ccle', 'ccle', 'ccle', 'gcsi', 'gcsi', 'gdsc', 'gdsc']","['NCI-H510A', 'MDA-MB-361', 'KARPAS-620', 'NCI-H510A', 'KARPAS-620', 'NCI-H510A', 'HCC1806']","['BAGE2', 'BAGE2', 'BAGE2', 'BAGE2', 'KMT2C', 'BAGE2', 'BAGE2']"
CNRIP1,7,"['ccle', 'ccle', 'ccle', 'gcsi', 'gcsi', 'gcsi', 'gdsc']","['NCI-H510A', 'Set-2', 'KU812', 'NCI-H510A', 'Set-2', 'KU812', 'Set-2']","['AC017083.3', 'AC017083.3', 'AC017083.3', 'AC017083.3', 'AC017083.3', 'AC017083.3', 'AC017083.3']"
TAOK1,6,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']","['PCGF2', 'LINC02071', 'PCGF2', 'LINC02071', 'PCGF2', 'LINC02071']"
USP32,6,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']","['CWC25', 'SMURF2', 'CWC25', 'SMURF2', 'CWC25', 'SMURF2']"
TANC2,6,"['ccle', 'gcsi', 'gdsc']","['MDA-MB-361', 'MDA-MB-361', 'MDA-MB-361']","['PSMD12', 'MTMR4', 'PSMD12', 'MTMR4', 'PSMD12', 'MTMR4']"
AC124319.1,6,"['ccle', 'ccle', 'gcsi', 'gcsi', 'gdsc', 'gdsc']","['ZR-75-30', 'SW780', 'ZR-75-30', 'SW780', 'ZR-75-30', 'SW780']","['TACC1', 'BAIAP2', 'TACC1', 'BAIAP2', 'TACC1', 'BAIAP2']"
NFE2L1,6,"['ccle', 'ccle', 'gcsi', 'gcsi', 'gdsc', 'gdsc']","['NCI-H510A', 'ZR-75-30', 'NCI-H510A', 'ZR-75-30', 'NCI-H510A', 'ZR-75-30']","['SKAP1', 'TOP1MT', 'SKAP1', 'TOP1MT', 'SKAP1', 'TOP1MT']"
PLXND1,6,"['ccle', 'ccle', 'gcsi', 'gcsi', 'gdsc', 'gdsc']","['NCI-H510A', 'HCC1187', 'NCI-H510A', 'HCC1187', 'NCI-H510A', 'HCC1187']","['TMCC1', 'TMCC1', 'TMCC1', 'TMCC1', 'TMCC1', 'TMCC1']"
SMURF2,6,"['ccle', 'ccle', 'gcsi', 'gcsi', 'gdsc', 'gdsc']","['HCC1806', 'SW1573', 'HCC1806', 'SW1573', 'HCC1806', 'SW1573']","['CEP112', 'DDX5', 'CEP112', 'DDX5', 'CEP112', 'DDX5']"
WNK1,5,"['ccle', 'gcsi', 'gdsc']","['HCC1806', 'HCC1806', 'HCC1806']","['CWC22', 'CWC22', 'USP31', 'CWC22', 'USP31']"
AL133342.1,5,"['ccle', 'gcsi', 'gcsi', 'gdsc', 'gdsc']","['KARPAS-620', 'HCC1806', 'KARPAS-620', 'HCC1806', 'KARPAS-620']","['PREX1', 'PREX1', 'PREX1', 'PREX1', 'PREX1']"
WIPF2,5,"['ccle', 'gcsi', 'gcsi', 'gdsc']","['UACC-812', 'UACC-812', 'HT-115', 'UACC-812']","['ERBB2', 'ERBB2', 'TRPV1', 'CASC3', 'ERBB2']"
PVT1,5,"['ccle', 'ccle', 'gcsi', 'gcsi', 'gdsc']","['WSU-DLCL2', 'SU-DHL-6', 'WSU-DLCL2', 'SU-DHL-6', 'SU-DHL-6']","['AC108681.1', 'ZCCHC7', 'AC108681.1', 'ZCCHC7', 'ZCCHC7']"
DUXAP10,5,"['ccle', 'ccle', 'gcsi', 'gcsi', 'gdsc']","['SW48', 'HCC1187', 'COLO-741', 'HCC1187', 'SW1573']","['AL512310.2', 'AL512310.2', 'AL512310.2', 'AL512310.2', 'AL512310.2']"
AC106741.1,5,"['ccle', 'ccle', 'gcsi', 'gcsi', 'gdsc']","['KARPAS-620', 'COLO-741', 'KARPAS-620', 'U-266', 'KARPAS-620']","['AC106729.1', 'AC106729.1', 'AC106729.1', 'AC106729.1', 'AC106729.1']"
GAB1,4,"['gcsi', 'gdsc']","['U-266', 'U-266']","['AC097658.2', 'USP38', 'AC097658.2', 'USP38']"
MCUB,4,"['gcsi', 'gdsc']","['SUIT-2', 'SUIT-2']","['TUBA1C', 'TUBA1A', 'TUBA1C', 'TUBA1A']"
SNHG3,4,"['gcsi', 'gcsi', 'gcsi', 'gdsc']","['RKO', 'CL-40', 'HCC1187', 'HCC1187']","['SNX5', 'SERINC2', 'FP236383.1', 'FP236383.1']"
MTMR3,4,"['ccle', 'gcsi', 'gdsc', 'nci60']","['HT-29', 'HT-29', 'HT-29', 'HT-29']","['APOH', 'APOH', 'APOH', 'APOH']"
MGRN1,4,"['ccle', 'gcsi', 'gdsc', 'nci60']","['HCT-15', 'HCT-15', 'HCT-15', 'HCT-15']","['C16orf96', 'C16orf96', 'C16orf96', 'C16orf96']"
PANK2,4,"['ccle', 'gcsi', 'gdsc', 'nci60']","['HCT-116', 'HCT-116', 'HCT-116', 'HCT-116']","['MAVS', 'MAVS', 'MAVS', 'MAVS']"
COMMD10,4,"['ccle', 'gcsi', 'gdsc', 'nci60']","['HCT-116', 'HCT-116', 'HCT-116', 'HCT-116']","['AP3S1', 'AP3S1', 'AP3S1', 'AP3S1']"
RTRAF,4,"['ccle', 'gcsi', 'gdsc', 'nci60']","['DU-145', 'DU-145', 'DU-145', 'DU-145']","['SLC25A21', 'SLC25A21', 'SLC25A21', 'SLC25A21']"
UBE2L3,4,"['ccle', 'gcsi', 'gdsc', 'nci60']","['DU-145', 'DU-145', 'DU-145', 'DU-145']","['KRAS', 'KRAS', 'KRAS', 'KRAS']"
CBWD2,4,"['ccle', 'gcsi', 'gdsc', 'gdsc']","['SR', 'SR', 'SR', 'SU-DHL-6']","['NPM1', 'NPM1P27', 'NPM1P27', 'FBXO10']"
PPP1R16A,4,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']","['ZFPM2-AS1', 'SLC13A2', 'ZFPM2-AS1', 'ZFPM2-AS1']"
PHF12,4,"['ccle', 'gcsi', 'gdsc']","['UACC-812', 'UACC-812', 'UACC-812']","['LRRC37BP1', 'AC005562.1', 'LRRC37BP1', 'AC005562.1']"
SPRED2,4,"['ccle', 'gcsi', 'gdsc']","['SW837', 'SW837', 'SW837']","['RAB1A', 'RAB1A', 'AC007318.2', 'RAB1A']"
ARNTL2,4,"['ccle', 'gcsi', 'gdsc']","['SW620', 'SW620', 'SW620']","['AC010197.1', 'AC010197.1', 'AC010185.1', 'AC010197.1']"
TCF7L1,4,"['ccle', 'gcsi', 'gdsc']","['SW1573', 'SW1573', 'SW1573']","['TMSB10', 'TMSB10', 'TMSB10', 'AC022210.2']"
PAQR5,4,"['ccle', 'gcsi', 'gdsc']","['SNU-C1', 'SNU-C1', 'SNU-C1']","['IQCH', 'FAM169B', 'IQCH', 'IQCH']"
AC068658.1,4,"['ccle', 'gcsi', 'gdsc']","['HT-115', 'HT-115', 'HT-115']","['LINC01184', 'LINC01184', 'LINC01184', 'SLC12A2']"
PEX14,4,"['ccle', 'gcsi', 'gdsc']","['C2BBe1', 'C2BBe1', 'C2BBe1']","['PTPN14', 'PTPN14', 'AL929236.1', 'PTPN14']"
FHOD3,4,"['ccle', 'gcsi', 'gcsi', 'gdsc']","['COLO-741', 'SW780', 'COLO-741', 'COLO-741']","['DLGAP1', 'SLC25A4', 'DLGAP1', 'DLGAP1']"
FCHSD2,3,"['gcsi', 'gdsc', 'gdsc']","['SW780', 'HT-115', 'SW780']","['AP002381.2', 'LINC01184', 'AP002381.2']"
AL033530.1,3,"['gcsi', 'gdsc', 'gdsc']","['KARPAS-620', 'NCI-H510A', 'KARPAS-620']","['AL691520.1', 'AL691520.1', 'AL691520.1']"
CHP1,3,"['gcsi', 'gdsc']","['WSU-DLCL2', 'WSU-DLCL2']","['AC020779.2', 'AC020779.2', 'MYO9A']"
AL139042.1,3,"['gcsi', 'gcsi', 'gdsc']","['MDA-MB-361', 'KARPAS-620', 'MDA-MB-361']","['CNR1', 'CNR1', 'CNR1']"
HYLS1,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']","['TIMM23', 'TIMM23', 'TIMM23']"
ZFPM2-AS1,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']","['SLC13A2', 'SLC13A2', 'SLC13A2']"
CENPO,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']","['RAB10', 'RAB10', 'RAB10']"
AC068025.2,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']","['PCGF2', 'PCGF2', 'PCGF2']"
ZMYM4,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']","['OPRD1', 'OPRD1', 'OPRD1']"
TRPS1,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']","['LASP1', 'LASP1', 'LASP1']"
PLEC,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']","['ENPP2', 'ENPP2', 'ENPP2']"
ERBB2,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']","['BCAS3', 'BCAS3', 'BCAS3']"
MYO18A,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']","['AF228727.1', 'AF228727.1', 'AF228727.1']"
SRCIN1,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']","['AC233699.1', 'AC233699.1', 'AC233699.1']"
PRKDC,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']","['AC111149.2', 'AC111149.2', 'AC111149.2']"
PHF20L1,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']","['AC068413.1', 'AC068413.1', 'AC068413.1']"
HOXC6,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']","['AC023794.1', 'AC023794.1', 'AC023794.1']"
TFEB,3,"['ccle', 'gcsi', 'gdsc']","['YAPC', 'YAPC', 'YAPC']","['TRERF1', 'TRERF1', 'TRERF1']"
SIM2,3,"['ccle', 'gcsi', 'gdsc']","['YAPC', 'YAPC', 'YAPC']","['RIPPLY3', 'RIPPLY3', 'RIPPLY3']"
MEGF6,3,"['ccle', 'gcsi', 'gdsc']","['YAPC', 'YAPC', 'YAPC']","['PLCH2', 'PLCH2', 'PLCH2']"
VEGFA,3,"['ccle', 'gcsi', 'gdsc']","['YAPC', 'YAPC', 'YAPC']","['KIF6', 'KIF6', 'KIF6']"
TP53BP1,3,"['ccle', 'gcsi', 'gdsc']","['WSU-DLCL2', 'WSU-DLCL2', 'WSU-DLCL2']","['PSMA4', 'PSMA4', 'PSMA4']"
PRPF3,3,"['ccle', 'gcsi', 'gdsc']","['UACC-812', 'UACC-812', 'UACC-812']","['SRGAP2', 'SRGAP2', 'SRGAP2']"
PPP1R12B,3,"['ccle', 'gcsi', 'gdsc']","['UACC-812', 'UACC-812', 'UACC-812']","['SNX27', 'SNX27', 'SNX27']"
HDGF,3,"['ccle', 'gcsi', 'gdsc']","['UACC-812', 'UACC-812', 'UACC-812']","['S100A10', 'S100A10', 'S100A10']"
RRNAD1,3,"['ccle', 'gcsi', 'gdsc']","['UACC-812', 'UACC-812', 'UACC-812']","['CTSS', 'CTSS', 'CTSS']"
LASP1,3,"['ccle', 'gcsi', 'gdsc']","['UACC-812', 'UACC-812', 'UACC-812']","['CSF3', 'CSF3', 'CSF3']"
WARS2,3,"['ccle', 'gcsi', 'gdsc']","['UACC-812', 'UACC-812', 'UACC-812']","['AKT3', 'AKT3', 'AKT3']"
NBPF26,3,"['ccle', 'gcsi', 'gdsc']","['UACC-812', 'UACC-812', 'UACC-812']","['AC239809.1', 'AC239809.1', 'AC239809.1']"
COX16,3,"['ccle', 'gcsi', 'gdsc']","['U-266', 'U-266', 'U-266']","['TMEM106B', 'TMEM106B', 'TMEM106B']"
ARFIP1,3,"['ccle', 'gcsi', 'gdsc']","['U-266', 'U-266', 'U-266']","['FNDC3B', 'FNDC3B', 'FNDC3B']"
FNDC3B,3,"['ccle', 'gcsi', 'gdsc']","['U-266', 'U-266', 'U-266']","['ARFIP1', 'ARFIP1', 'ARFIP1']"
FO393400.1,3,"['ccle', 'gcsi', 'gdsc']","['Set-2', 'Set-2', 'Set-2']","['NOL4L', 'NOL4L', 'NOL4L']"
USP12,3,"['ccle', 'gcsi', 'gdsc']","['SW948', 'SW948', 'SW948']","['LINC02340', 'LINC02340', 'LINC02340']"
RBM12B,3,"['ccle', 'gcsi', 'gdsc']","['SW837', 'SW837', 'SW837']","['RAD54B', 'RAD54B', 'RAD54B']"
ANKRD13C,3,"['ccle', 'gcsi', 'gdsc']","['SW837', 'SW837', 'SW837']","['PTGER3', 'PTGER3', 'PTGER3']"
RABGAP1,3,"['ccle', 'gcsi', 'gdsc']","['SW780', 'SW780', 'SW780']","['PCSK5', 'PCSK5', 'PCSK5']"
GSN,3,"['ccle', 'gcsi', 'gdsc']","['SW780', 'SW780', 'SW780']","['NMRK1', 'NMRK1', 'NMRK1']"
CCDC18-AS1,3,"['ccle', 'gcsi', 'gdsc']","['SW780', 'SW780', 'SW780']","['EVI5', 'EVI5', 'EVI5']"
FGFR3,3,"['ccle', 'gcsi', 'gdsc']","['SW780', 'SW780', 'SW780']","['BAIAP2L1', 'BAIAP2L1', 'BAIAP2L1']"
NSD1,3,"['ccle', 'gcsi', 'gdsc']","['SW620', 'SW620', 'SW620']","['ZNF346', 'ZNF346', 'ZNF346']"
USP45,3,"['ccle', 'gcsi', 'gdsc']","['SW620', 'SW620', 'SW620']","['FAXC', 'FAXC', 'FAXC']"
CDH13,3,"['ccle', 'gcsi', 'gdsc']","['SW620', 'SW620', 'SW620']","['AC073968.2', 'AC073968.2', 'AC073968.2']"
ARRDC1,3,"['ccle', 'gcsi', 'gdsc']","['SW48', 'SW48', 'SW48']","['EHMT1', 'EHMT1', 'EHMT1']"
DNAJC3,3,"['ccle', 'gcsi', 'gdsc']","['SW403', 'SW403', 'SW403']","['VWA8', 'VWA8', 'VWA8']"
LARP4B,3,"['ccle', 'gcsi', 'gdsc']","['SW1573', 'SW1573', 'SW1573']","['TSPAN33', 'TSPAN33', 'TSPAN33']"
LINC02643,3,"['ccle', 'gcsi', 'gdsc']","['SW1573', 'SW1573', 'SW1573']","['NEBL', 'NEBL', 'NEBL']"
NEAT1,3,"['ccle', 'gcsi', 'gdsc']","['SW1573', 'SW1573', 'SW1573']","['LTBP3', 'LTBP3', 'LTBP3']"
ME2,3,"['ccle', 'gcsi', 'gdsc']","['SW1573', 'SW1573', 'SW1573']","['DCC', 'DCC', 'DCC']"
IL1RAPL1,3,"['ccle', 'gcsi', 'gdsc']","['SW1573', 'SW1573', 'SW1573']","['AC005185.1', 'AC005185.1', 'AC005185.1']"
ARHGAP35,3,"['ccle', 'gcsi', 'gdsc']","['SW1463', 'SW1463', 'SW1463']","['VRK3', 'VRK3', 'VRK3']"
ATP5F1A,3,"['ccle', 'gcsi', 'gdsc']","['SW1463', 'SW1463', 'SW1463']","['SNTG1', 'SNTG1', 'SNTG1']"
LRR1,3,"['ccle', 'gcsi', 'gdsc']","['SW1463', 'SW1463', 'SW1463']","['RPL36AL', 'RPL36AL', 'RPL36AL']"
RPL36AL,3,"['ccle', 'gcsi', 'gdsc']","['SW1463', 'SW1463', 'SW1463']","['LRR1', 'LRR1', 'LRR1']"
HNF4A,3,"['ccle', 'gcsi', 'gdsc']","['SUIT-2', 'SUIT-2', 'SUIT-2']","['R3HDML', 'R3HDML', 'R3HDML']"
TUBA1C,3,"['ccle', 'gcsi', 'gdsc']","['SUIT-2', 'SUIT-2', 'SUIT-2']","['ENDOV', 'ENDOV', 'ENDOV']"
ROCK2,3,"['ccle', 'gcsi', 'gdsc']","['SUIT-2', 'SUIT-2', 'SUIT-2']","['E2F6', 'E2F6', 'E2F6']"
ICMT,3,"['ccle', 'gcsi', 'gdsc']","['SU-DHL-6', 'SU-DHL-6', 'SU-DHL-6']","['SZRD1', 'SZRD1', 'SZRD1']"
POU2F2,3,"['ccle', 'gcsi', 'gdsc']","['SU-DHL-6', 'SU-DHL-6', 'SU-DHL-6']","['FRG1KP', 'FRG1KP', 'FRG1KP']"
THOC2,3,"['ccle', 'gcsi', 'gdsc']","['SU-DHL-10', 'SU-DHL-10', 'SU-DHL-10']","['MTSS1', 'MTSS1', 'MTSS1']"
NPM1,3,"['ccle', 'gcsi', 'gdsc']","['SR', 'SR', 'SR']","['ALK', 'ALK', 'ALK']"
CYFIP1,3,"['ccle', 'gcsi', 'gdsc']","['SNU-C1', 'SNU-C1', 'SNU-C1']","['USP3', 'USP3', 'USP3']"
CHD2,3,"['ccle', 'gcsi', 'gdsc']","['SNU-C1', 'SNU-C1', 'SNU-C1']","['STARD9', 'STARD9', 'STARD9']"
APIP,3,"['ccle', 'gcsi', 'gdsc']","['SNU-C1', 'SNU-C1', 'SNU-C1']","['SLC1A2', 'SLC1A2', 'SLC1A2']"
LMNTD2,3,"['ccle', 'gcsi', 'gdsc']","['SNU-C1', 'SNU-C1', 'SNU-C1']","['SLC1A2', 'SLC1A2', 'SLC1A2']"
SLC33A1,3,"['ccle', 'gcsi', 'gdsc']","['SNU-C1', 'SNU-C1', 'SNU-C1']","['PLCH1', 'PLCH1', 'PLCH1']"
SPG11,3,"['ccle', 'gcsi', 'gdsc']","['SNU-C1', 'SNU-C1', 'SNU-C1']","['DAPK2', 'DAPK2', 'DAPK2']"
FAN1,3,"['ccle', 'gcsi', 'gdsc']","['SNU-C1', 'SNU-C1', 'SNU-C1']","['CHRFAM7A', 'CHRFAM7A', 'CHRFAM7A']"
RAB14,3,"['ccle', 'gcsi', 'gdsc']","['SNU-C1', 'SNU-C1', 'SNU-C1']","['C5', 'C5', 'C5']"
CEMIP,3,"['ccle', 'gcsi', 'gdsc']","['SNU-C1', 'SNU-C1', 'SNU-C1']","['AC015712.1', 'AC015712.1', 'AC015712.1']"
JADE2,3,"['ccle', 'gcsi', 'gdsc']","['NCI-H510A', 'NCI-H510A', 'NCI-H510A']","['UBE2B', 'UBE2B', 'UBE2B']"
FBXL3,3,"['ccle', 'gcsi', 'gdsc']","['NCI-H510A', 'NCI-H510A', 'NCI-H510A']","['TRPC4', 'TRPC4', 'TRPC4']"
BAZ1A,3,"['ccle', 'gcsi', 'gdsc']","['NCI-H510A', 'NCI-H510A', 'NCI-H510A']","['SFTA3', 'SFTA3', 'SFTA3']"
PTK2,3,"['ccle', 'gcsi', 'gdsc']","['NCI-H510A', 'NCI-H510A', 'NCI-H510A']","['PKHD1L1', 'PKHD1L1', 'PKHD1L1']"
TWSG1,3,"['ccle', 'gcsi', 'gdsc']","['NCI-H510A', 'NCI-H510A', 'NCI-H510A']","['PIK3C3', 'PIK3C3', 'PIK3C3']"
RAP2A,3,"['ccle', 'gcsi', 'gdsc']","['NCI-H510A', 'NCI-H510A', 'NCI-H510A']","['PCDH9-AS1', 'PCDH9-AS1', 'PCDH9-AS1']"
KCNQ3,3,"['ccle', 'gcsi', 'gdsc']","['NCI-H510A', 'NCI-H510A', 'NCI-H510A']","['PCAT1', 'PCAT1', 'PCAT1']"
ARHGAP23,3,"['ccle', 'gcsi', 'gdsc']","['NCI-H510A', 'NCI-H510A', 'NCI-H510A']","['MRPL45', 'MRPL45', 'MRPL45']"
CAPZB,3,"['ccle', 'gcsi', 'gdsc']","['NCI-H510A', 'NCI-H510A', 'NCI-H510A']","['LINC02241', 'LINC02241', 'LINC02241']"
TRIO,3,"['ccle', 'gcsi', 'gdsc']","['NCI-H510A', 'NCI-H510A', 'NCI-H510A']","['LINC02142', 'LINC02142', 'LINC02142']"
CYLD,3,"['ccle', 'gcsi', 'gdsc']","['NCI-H510A', 'NCI-H510A', 'NCI-H510A']","['KLF3', 'KLF3', 'KLF3']"
MACF1,3,"['ccle', 'gcsi', 'gdsc']","['NCI-H510A', 'NCI-H510A', 'NCI-H510A']","['HEYL', 'HEYL', 'HEYL']"
PPP4R3A,3,"['ccle', 'gcsi', 'gdsc']","['NCI-H510A', 'NCI-H510A', 'NCI-H510A']","['HEATR3', 'HEATR3', 'HEATR3']"
PKHD1L1,3,"['ccle', 'gcsi', 'gdsc']","['NCI-H510A', 'NCI-H510A', 'NCI-H510A']","['ESRP1', 'ESRP1', 'ESRP1']"
ELOVL6,3,"['ccle', 'gcsi', 'gdsc']","['NCI-H510A', 'NCI-H510A', 'NCI-H510A']","['ENPEP', 'ENPEP', 'ENPEP']"
R3HDM2,3,"['ccle', 'gcsi', 'gdsc']","['NCI-H510A', 'NCI-H510A', 'NCI-H510A']","['DCTN2', 'DCTN2', 'DCTN2']"
HDAC2,3,"['ccle', 'gcsi', 'gdsc']","['NCI-H510A', 'NCI-H510A', 'NCI-H510A']","['BEND3', 'BEND3', 'BEND3']"
PDS5B,3,"['ccle', 'gcsi', 'gdsc']","['NCI-H510A', 'NCI-H510A', 'NCI-H510A']","['AL159156.1', 'AL159156.1', 'AL159156.1']"
VPS8,3,"['ccle', 'gcsi', 'gdsc']","['NCI-H510A', 'NCI-H510A', 'NCI-H510A']","['AGRN', 'AGRN', 'AGRN']"
XRCC6,3,"['ccle', 'gcsi', 'gdsc']","['NCI-H510A', 'NCI-H510A', 'NCI-H510A']","['ACO2', 'ACO2', 'ACO2']"
PDXDC2P,3,"['ccle', 'gcsi', 'gdsc']","['NCI-H510A', 'NCI-H510A', 'NCI-H510A']","['AC009060.1', 'AC009060.1', 'AC009060.1']"
AC139887.1,3,"['ccle', 'gcsi', 'gdsc']","['MDST8', 'MDST8', 'MDST8']","['CPLX1', 'CPLX1', 'CPLX1']"
