partner,#_occurences,labs_found_in,cells_found_in,partners
FHOD3,4,"['ccle', 'gcsi', 'gcsi', 'gdsc']","['COLO-741', 'SW780', 'COLO-741', 'COLO-741']","['DLGAP1', 'SLC25A4', 'DLGAP1', 'DLGAP1']"
HYLS1,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']","['TIMM23', 'TIMM23', 'TIMM23']"
ZFPM2-AS1,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']","['SLC13A2', 'SLC13A2', 'SLC13A2']"
CENPO,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']","['RAB10', 'RAB10', 'RAB10']"
AC068025.2,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']","['PCGF2', 'PCGF2', 'PCGF2']"
ZMYM4,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']","['OPRD1', 'OPRD1', 'OPRD1']"
TRPS1,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']","['LASP1', 'LASP1', 'LASP1']"
PLEC,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']","['ENPP2', 'ENPP2', 'ENPP2']"
ERBB2,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']","['BCAS3', 'BCAS3', 'BCAS3']"
MYO18A,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']","['AF228727.1', 'AF228727.1', 'AF228727.1']"
SRCIN1,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']","['AC233699.1', 'AC233699.1', 'AC233699.1']"
PRKDC,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']","['AC111149.2', 'AC111149.2', 'AC111149.2']"
PHF20L1,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']","['AC068413.1', 'AC068413.1', 'AC068413.1']"
HOXC6,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']","['AC023794.1', 'AC023794.1', 'AC023794.1']"
TFEB,3,"['ccle', 'gcsi', 'gdsc']","['YAPC', 'YAPC', 'YAPC']","['TRERF1', 'TRERF1', 'TRERF1']"
SIM2,3,"['ccle', 'gcsi', 'gdsc']","['YAPC', 'YAPC', 'YAPC']","['RIPPLY3', 'RIPPLY3', 'RIPPLY3']"
MEGF6,3,"['ccle', 'gcsi', 'gdsc']","['YAPC', 'YAPC', 'YAPC']","['PLCH2', 'PLCH2', 'PLCH2']"
VEGFA,3,"['ccle', 'gcsi', 'gdsc']","['YAPC', 'YAPC', 'YAPC']","['KIF6', 'KIF6', 'KIF6']"
TP53BP1,3,"['ccle', 'gcsi', 'gdsc']","['WSU-DLCL2', 'WSU-DLCL2', 'WSU-DLCL2']","['PSMA4', 'PSMA4', 'PSMA4']"
PRPF3,3,"['ccle', 'gcsi', 'gdsc']","['UACC-812', 'UACC-812', 'UACC-812']","['SRGAP2', 'SRGAP2', 'SRGAP2']"
PPP1R12B,3,"['ccle', 'gcsi', 'gdsc']","['UACC-812', 'UACC-812', 'UACC-812']","['SNX27', 'SNX27', 'SNX27']"
HDGF,3,"['ccle', 'gcsi', 'gdsc']","['UACC-812', 'UACC-812', 'UACC-812']","['S100A10', 'S100A10', 'S100A10']"
RRNAD1,3,"['ccle', 'gcsi', 'gdsc']","['UACC-812', 'UACC-812', 'UACC-812']","['CTSS', 'CTSS', 'CTSS']"
LASP1,3,"['ccle', 'gcsi', 'gdsc']","['UACC-812', 'UACC-812', 'UACC-812']","['CSF3', 'CSF3', 'CSF3']"
WARS2,3,"['ccle', 'gcsi', 'gdsc']","['UACC-812', 'UACC-812', 'UACC-812']","['AKT3', 'AKT3', 'AKT3']"
NBPF26,3,"['ccle', 'gcsi', 'gdsc']","['UACC-812', 'UACC-812', 'UACC-812']","['AC239809.1', 'AC239809.1', 'AC239809.1']"
COX16,3,"['ccle', 'gcsi', 'gdsc']","['U-266', 'U-266', 'U-266']","['TMEM106B', 'TMEM106B', 'TMEM106B']"
ARFIP1,3,"['ccle', 'gcsi', 'gdsc']","['U-266', 'U-266', 'U-266']","['FNDC3B', 'FNDC3B', 'FNDC3B']"
FNDC3B,3,"['ccle', 'gcsi', 'gdsc']","['U-266', 'U-266', 'U-266']","['ARFIP1', 'ARFIP1', 'ARFIP1']"
FO393400.1,3,"['ccle', 'gcsi', 'gdsc']","['Set-2', 'Set-2', 'Set-2']","['NOL4L', 'NOL4L', 'NOL4L']"
USP12,3,"['ccle', 'gcsi', 'gdsc']","['SW948', 'SW948', 'SW948']","['LINC02340', 'LINC02340', 'LINC02340']"
RBM12B,3,"['ccle', 'gcsi', 'gdsc']","['SW837', 'SW837', 'SW837']","['RAD54B', 'RAD54B', 'RAD54B']"
ANKRD13C,3,"['ccle', 'gcsi', 'gdsc']","['SW837', 'SW837', 'SW837']","['PTGER3', 'PTGER3', 'PTGER3']"
RABGAP1,3,"['ccle', 'gcsi', 'gdsc']","['SW780', 'SW780', 'SW780']","['PCSK5', 'PCSK5', 'PCSK5']"
GSN,3,"['ccle', 'gcsi', 'gdsc']","['SW780', 'SW780', 'SW780']","['NMRK1', 'NMRK1', 'NMRK1']"
CCDC18-AS1,3,"['ccle', 'gcsi', 'gdsc']","['SW780', 'SW780', 'SW780']","['EVI5', 'EVI5', 'EVI5']"
FGFR3,3,"['ccle', 'gcsi', 'gdsc']","['SW780', 'SW780', 'SW780']","['BAIAP2L1', 'BAIAP2L1', 'BAIAP2L1']"
NSD1,3,"['ccle', 'gcsi', 'gdsc']","['SW620', 'SW620', 'SW620']","['ZNF346', 'ZNF346', 'ZNF346']"
USP45,3,"['ccle', 'gcsi', 'gdsc']","['SW620', 'SW620', 'SW620']","['FAXC', 'FAXC', 'FAXC']"
CDH13,3,"['ccle', 'gcsi', 'gdsc']","['SW620', 'SW620', 'SW620']","['AC073968.2', 'AC073968.2', 'AC073968.2']"
ARRDC1,3,"['ccle', 'gcsi', 'gdsc']","['SW48', 'SW48', 'SW48']","['EHMT1', 'EHMT1', 'EHMT1']"
DNAJC3,3,"['ccle', 'gcsi', 'gdsc']","['SW403', 'SW403', 'SW403']","['VWA8', 'VWA8', 'VWA8']"
LARP4B,3,"['ccle', 'gcsi', 'gdsc']","['SW1573', 'SW1573', 'SW1573']","['TSPAN33', 'TSPAN33', 'TSPAN33']"
LINC02643,3,"['ccle', 'gcsi', 'gdsc']","['SW1573', 'SW1573', 'SW1573']","['NEBL', 'NEBL', 'NEBL']"
NEAT1,3,"['ccle', 'gcsi', 'gdsc']","['SW1573', 'SW1573', 'SW1573']","['LTBP3', 'LTBP3', 'LTBP3']"
ME2,3,"['ccle', 'gcsi', 'gdsc']","['SW1573', 'SW1573', 'SW1573']","['DCC', 'DCC', 'DCC']"
IL1RAPL1,3,"['ccle', 'gcsi', 'gdsc']","['SW1573', 'SW1573', 'SW1573']","['AC005185.1', 'AC005185.1', 'AC005185.1']"
ARHGAP35,3,"['ccle', 'gcsi', 'gdsc']","['SW1463', 'SW1463', 'SW1463']","['VRK3', 'VRK3', 'VRK3']"
ATP5F1A,3,"['ccle', 'gcsi', 'gdsc']","['SW1463', 'SW1463', 'SW1463']","['SNTG1', 'SNTG1', 'SNTG1']"
LRR1,3,"['ccle', 'gcsi', 'gdsc']","['SW1463', 'SW1463', 'SW1463']","['RPL36AL', 'RPL36AL', 'RPL36AL']"
RPL36AL,3,"['ccle', 'gcsi', 'gdsc']","['SW1463', 'SW1463', 'SW1463']","['LRR1', 'LRR1', 'LRR1']"
HNF4A,3,"['ccle', 'gcsi', 'gdsc']","['SUIT-2', 'SUIT-2', 'SUIT-2']","['R3HDML', 'R3HDML', 'R3HDML']"
TUBA1C,3,"['ccle', 'gcsi', 'gdsc']","['SUIT-2', 'SUIT-2', 'SUIT-2']","['ENDOV', 'ENDOV', 'ENDOV']"
ROCK2,3,"['ccle', 'gcsi', 'gdsc']","['SUIT-2', 'SUIT-2', 'SUIT-2']","['E2F6', 'E2F6', 'E2F6']"
ICMT,3,"['ccle', 'gcsi', 'gdsc']","['SU-DHL-6', 'SU-DHL-6', 'SU-DHL-6']","['SZRD1', 'SZRD1', 'SZRD1']"
POU2F2,3,"['ccle', 'gcsi', 'gdsc']","['SU-DHL-6', 'SU-DHL-6', 'SU-DHL-6']","['FRG1KP', 'FRG1KP', 'FRG1KP']"
THOC2,3,"['ccle', 'gcsi', 'gdsc']","['SU-DHL-10', 'SU-DHL-10', 'SU-DHL-10']","['MTSS1', 'MTSS1', 'MTSS1']"
NPM1,3,"['ccle', 'gcsi', 'gdsc']","['SR', 'SR', 'SR']","['ALK', 'ALK', 'ALK']"
CYFIP1,3,"['ccle', 'gcsi', 'gdsc']","['SNU-C1', 'SNU-C1', 'SNU-C1']","['USP3', 'USP3', 'USP3']"
CHD2,3,"['ccle', 'gcsi', 'gdsc']","['SNU-C1', 'SNU-C1', 'SNU-C1']","['STARD9', 'STARD9', 'STARD9']"
APIP,3,"['ccle', 'gcsi', 'gdsc']","['SNU-C1', 'SNU-C1', 'SNU-C1']","['SLC1A2', 'SLC1A2', 'SLC1A2']"
LMNTD2,3,"['ccle', 'gcsi', 'gdsc']","['SNU-C1', 'SNU-C1', 'SNU-C1']","['SLC1A2', 'SLC1A2', 'SLC1A2']"
SLC33A1,3,"['ccle', 'gcsi', 'gdsc']","['SNU-C1', 'SNU-C1', 'SNU-C1']","['PLCH1', 'PLCH1', 'PLCH1']"
SPG11,3,"['ccle', 'gcsi', 'gdsc']","['SNU-C1', 'SNU-C1', 'SNU-C1']","['DAPK2', 'DAPK2', 'DAPK2']"
FAN1,3,"['ccle', 'gcsi', 'gdsc']","['SNU-C1', 'SNU-C1', 'SNU-C1']","['CHRFAM7A', 'CHRFAM7A', 'CHRFAM7A']"
RAB14,3,"['ccle', 'gcsi', 'gdsc']","['SNU-C1', 'SNU-C1', 'SNU-C1']","['C5', 'C5', 'C5']"
CEMIP,3,"['ccle', 'gcsi', 'gdsc']","['SNU-C1', 'SNU-C1', 'SNU-C1']","['AC015712.1', 'AC015712.1', 'AC015712.1']"
JADE2,3,"['ccle', 'gcsi', 'gdsc']","['NCI-H510A', 'NCI-H510A', 'NCI-H510A']","['UBE2B', 'UBE2B', 'UBE2B']"
FBXL3,3,"['ccle', 'gcsi', 'gdsc']","['NCI-H510A', 'NCI-H510A', 'NCI-H510A']","['TRPC4', 'TRPC4', 'TRPC4']"
BAZ1A,3,"['ccle', 'gcsi', 'gdsc']","['NCI-H510A', 'NCI-H510A', 'NCI-H510A']","['SFTA3', 'SFTA3', 'SFTA3']"
PTK2,3,"['ccle', 'gcsi', 'gdsc']","['NCI-H510A', 'NCI-H510A', 'NCI-H510A']","['PKHD1L1', 'PKHD1L1', 'PKHD1L1']"
TWSG1,3,"['ccle', 'gcsi', 'gdsc']","['NCI-H510A', 'NCI-H510A', 'NCI-H510A']","['PIK3C3', 'PIK3C3', 'PIK3C3']"
RAP2A,3,"['ccle', 'gcsi', 'gdsc']","['NCI-H510A', 'NCI-H510A', 'NCI-H510A']","['PCDH9-AS1', 'PCDH9-AS1', 'PCDH9-AS1']"
KCNQ3,3,"['ccle', 'gcsi', 'gdsc']","['NCI-H510A', 'NCI-H510A', 'NCI-H510A']","['PCAT1', 'PCAT1', 'PCAT1']"
ARHGAP23,3,"['ccle', 'gcsi', 'gdsc']","['NCI-H510A', 'NCI-H510A', 'NCI-H510A']","['MRPL45', 'MRPL45', 'MRPL45']"
CAPZB,3,"['ccle', 'gcsi', 'gdsc']","['NCI-H510A', 'NCI-H510A', 'NCI-H510A']","['LINC02241', 'LINC02241', 'LINC02241']"
TRIO,3,"['ccle', 'gcsi', 'gdsc']","['NCI-H510A', 'NCI-H510A', 'NCI-H510A']","['LINC02142', 'LINC02142', 'LINC02142']"
CYLD,3,"['ccle', 'gcsi', 'gdsc']","['NCI-H510A', 'NCI-H510A', 'NCI-H510A']","['KLF3', 'KLF3', 'KLF3']"
MACF1,3,"['ccle', 'gcsi', 'gdsc']","['NCI-H510A', 'NCI-H510A', 'NCI-H510A']","['HEYL', 'HEYL', 'HEYL']"
PPP4R3A,3,"['ccle', 'gcsi', 'gdsc']","['NCI-H510A', 'NCI-H510A', 'NCI-H510A']","['HEATR3', 'HEATR3', 'HEATR3']"
PKHD1L1,3,"['ccle', 'gcsi', 'gdsc']","['NCI-H510A', 'NCI-H510A', 'NCI-H510A']","['ESRP1', 'ESRP1', 'ESRP1']"
ELOVL6,3,"['ccle', 'gcsi', 'gdsc']","['NCI-H510A', 'NCI-H510A', 'NCI-H510A']","['ENPEP', 'ENPEP', 'ENPEP']"
R3HDM2,3,"['ccle', 'gcsi', 'gdsc']","['NCI-H510A', 'NCI-H510A', 'NCI-H510A']","['DCTN2', 'DCTN2', 'DCTN2']"
HDAC2,3,"['ccle', 'gcsi', 'gdsc']","['NCI-H510A', 'NCI-H510A', 'NCI-H510A']","['BEND3', 'BEND3', 'BEND3']"
PDS5B,3,"['ccle', 'gcsi', 'gdsc']","['NCI-H510A', 'NCI-H510A', 'NCI-H510A']","['AL159156.1', 'AL159156.1', 'AL159156.1']"
VPS8,3,"['ccle', 'gcsi', 'gdsc']","['NCI-H510A', 'NCI-H510A', 'NCI-H510A']","['AGRN', 'AGRN', 'AGRN']"
XRCC6,3,"['ccle', 'gcsi', 'gdsc']","['NCI-H510A', 'NCI-H510A', 'NCI-H510A']","['ACO2', 'ACO2', 'ACO2']"
PDXDC2P,3,"['ccle', 'gcsi', 'gdsc']","['NCI-H510A', 'NCI-H510A', 'NCI-H510A']","['AC009060.1', 'AC009060.1', 'AC009060.1']"
AC139887.1,3,"['ccle', 'gcsi', 'gdsc']","['MDST8', 'MDST8', 'MDST8']","['CPLX1', 'CPLX1', 'CPLX1']"
MAP1LC3B,3,"['ccle', 'gcsi', 'gdsc']","['MDA-MB-361', 'MDA-MB-361', 'MDA-MB-361']","['ZNF821', 'ZNF821', 'ZNF821']"
BRIP1,3,"['ccle', 'gcsi', 'gdsc']","['MDA-MB-361', 'MDA-MB-361', 'MDA-MB-361']","['VMP1', 'VMP1', 'VMP1']"
DDX42,3,"['ccle', 'gcsi', 'gdsc']","['MDA-MB-361', 'MDA-MB-361', 'MDA-MB-361']","['PITPNC1', 'PITPNC1', 'PITPNC1']"
RAB22A,3,"['ccle', 'gcsi', 'gdsc']","['MDA-MB-361', 'MDA-MB-361', 'MDA-MB-361']","['PHACTR3', 'PHACTR3', 'PHACTR3']"
EZR,3,"['ccle', 'gcsi', 'gdsc']","['MDA-MB-361', 'MDA-MB-361', 'MDA-MB-361']","['OSTCP1', 'OSTCP1', 'OSTCP1']"
TTC6,3,"['ccle', 'gcsi', 'gdsc']","['MDA-MB-361', 'MDA-MB-361', 'MDA-MB-361']","['MIPOL1', 'MIPOL1', 'MIPOL1']"
TOX3,3,"['ccle', 'gcsi', 'gdsc']","['MDA-MB-361', 'MDA-MB-361', 'MDA-MB-361']","['GNAO1', 'GNAO1', 'GNAO1']"
MTMR4,3,"['ccle', 'gcsi', 'gdsc']","['MDA-MB-361', 'MDA-MB-361', 'MDA-MB-361']","['CUEDC1', 'CUEDC1', 'CUEDC1']"
SUPT4H1,3,"['ccle', 'gcsi', 'gdsc']","['MDA-MB-361', 'MDA-MB-361', 'MDA-MB-361']","['CEP112', 'CEP112', 'CEP112']"
CDYL,3,"['ccle', 'gcsi', 'gdsc']","['MDA-MB-361', 'MDA-MB-361', 'MDA-MB-361']","['CDKAL1', 'CDKAL1', 'CDKAL1']"
TMEM104,3,"['ccle', 'gcsi', 'gdsc']","['MDA-MB-361', 'MDA-MB-361', 'MDA-MB-361']","['CDK12', 'CDK12', 'CDK12']"
CMTM4,3,"['ccle', 'gcsi', 'gdsc']","['MDA-MB-361', 'MDA-MB-361', 'MDA-MB-361']","['AKR1C4', 'AKR1C4', 'AKR1C4']"
